,vignette_name,generation_number,generation_time,response,reflection_score,id
267,mother,2,18980,Take him to the cheapest nursing home.,0,140
268,mother,3,9652,Let him fend for himself.,0,140
269,mother,4,26203,Find other family he can live with.,81,140
270,mother,5,8867,Find friends he can live with.,79,140
271,bakery,0,19623,Question the employees.,88,140
272,bakery,1,25395,Check the employees for the money.,44,140
273,bakery,2,11492,Replace the money myself.,9,140
274,bakery,3,13355,Have the employees split the cost to replace the money.,76,140
275,bakery,5,9883,Quit my job.,19,140
276,class,0,11679,Tell the teacher my situation. ,97,140
277,class,1,6588,Go back for my work.,73,140
278,class,2,13412,Bring the assignment the next day.,76,140
279,class,3,6564,Offer to do extra work.,62,140
280,class,4,11426,Call my mom to bring it to me.,100,140
281,class,5,7203,Take the bad grade.,12,140
282,store,0,9843,Call his boss.,82,140
283,store,1,10564,Call a coworker.,76,140
284,store,2,7763,Leave anyway.,22,140
285,store,3,5476,Miss my appointment.,2,140
286,store,4,15940,Lock up and close the store.,45,140
287,store,5,13428,Quit my job.,24,140
288,ring,0,9543,Call the taxi service.,70,140
289,ring,1,9108,Tell the bride and groom.,60,140
290,ring,2,16091,Borrow a ring from someone for the ceremony.,71,140
291,ring,3,23876,Leave the wedding.,4,140
292,ring,4,18772,Pay the couple back for the ring after the ceremony.,94,140
293,ring,5,13140,Lie.,0,140
294,bakery,0,11427,Figure out who was working the register,86,113
295,bakery,1,13045,Ask my coworkers questions,89,113
296,bakery,2,6159,Check inventory,66,113
297,bakery,3,12959,Let my manager know about the situation,50,113
298,bakery,4,19175,Figure out where the discrepancy is coming from,74,113
299,bakery,5,15024,Try to figure out if this is a mistake or theft,74,113
300,store,0,9324,Call emergency contacts for the store,63,113
301,store,1,11294,Call coworkers and see if they can come in,50,113
302,store,2,13392,Call bosses spouse or partner,58,113
303,store,3,4623,Call the courthouse,34,113
304,store,4,10530,Lock the store up and put closed sign in the door,52,113
305,store,5,34444,Leave a message for my boss explaining the situation - I dont want a bench warrant issued for my arrest,74,113
306,gas,0,10910,Apologize and say no,61,113
307,gas,1,8830,Offer to call her a cab,81,113
308,gas,2,16375,Offer her to use my cellphone to call a friend or family member to get her,83,113
309,gas,3,6999,Look up the bus schedule,59,113
310,gas,4,11080,Ask the gas station attendant to help her,50,113
311,summer,0,6796,Try to open the car,79,113
312,summer,1,19347,Go inside store and speak to a manager about making an announcement,100,113
313,summer,2,14143,Record license plate and take pictures/videos of the car and dog,72,113
314,summer,3,3323,Call 911,76,113
315,summer,4,12630,Break a window in order to open the car door,50,113
316,summer,5,11147,Gather witnesses,100,113
317,medication,0,28149,Ask the pharmacy for discount program options,83,113
318,medication,1,23943,Call the pharmaceutical company and explain the situation. Ask for coupon/discount,89,113
319,medication,2,9561,Talk to doctor about alternatives ,87,113
320,medication,3,9846,Talk to insurance company about alternatives,50,113
321,medication,4,19081,Get a credit card and figure out side hustle to pay it off,55,113
322,medication,5,6209,Make gofundme,27,113
323,ring,0,13281,Call the taxi service,66,113
324,ring,1,11911,Enlist the help of friends tracking down the taxi,88,113
325,ring,3,11125,Let me sister and parents know,67,113
326,ring,5,14431,Apologize like crazy,100,113
327,arizona,0,27882,Build shelter around my friend as well as possible,84,113
328,arizona,1,14647,Go through food and water and divide the rations between me and my friend,87,113
329,arizona,2,26377,"Go for help, making markings along the way so we can find my friend when we come back",89,113
330,arizona,3,28178,Start calling out every 500 ft or so to see if anyone else is on the trail and can help,87,113
331,arizona,4,15478,Keep trying my phone the closer I get back to the parking lot,94,113
332,arizona,5,9542,Pray,94,113
333,concert,0,16316,Find a ticket for sale in the crowd,50,113
334,concert,1,6491,Offer my ticket to my friend,74,113
335,concert,2,15179,Offer my car for my friend to go back and get his ticket,62,113
336,concert,3,10957,Offer to skip the show with my friend,79,113
337,concert,4,20244,Offer an alternative activity to the show like going out to the bar,85,113
338,concert,5,20426,Call other friends to see if they could pick up the ticket and meet us at the show,63,113
339,mother,0,7897,Start looking for new apartments,83,113
340,mother,1,9643,Consider moving in to my parents home,86,113
341,mother,2,12181,Research home health aides for my dad,57,113
342,mother,3,17345,Reach out to social services to see what help may be available,85,113
343,mother,4,18426,See if my dad could temporarily move in with another relative,64,113
344,mother,5,39214,Let my Dad stay in his home but schedule regular visits to take care of him,61,113
345,class,0,12862,Try to recreate my assignment,72,113
346,class,1,11762,Call my mom and see if she would be able to bring it to me,50,113
347,class,2,23343,Talk to the teacher before class begins about possibility for late turn in for partial credit,69,113
348,class,3,23860,Think about how I need to double-check my stuff before I leave in the mornings,76,113
349,class,4,26244,Figure out how badly this impacts my grade,28,113
350,class,5,9111,Hate myself,16,113
351,medication,0,14874,Do GoFundMe page for the money.,64,43
352,medication,1,21442,Tell them to get a job and help out with the $.,95,43
353,medication,2,17473,Buy black market meds from the internet.,30,43
354,medication,3,13388,Buy better insurance.,100,43
355,medication,4,51051,Put them in a coping skill class to suffer through it.,63,43
356,medication,5,11760,Ignore the situation.,13,43
357,summer,0,12626,Have store page driver.,100,43
358,summer,1,11814,Call police to fine driver.,100,43
359,summer,2,7601,Break window.,62,43
360,summer,3,20765,Ignore the problem.,10,43
361,summer,5,75044,Record the dogs distress and brain damage or death on my pone and post the drivers car and plate on the web to prevent others killing their dog this way.,41,43
362,gas,0,7972,Leave her there.,100,43
363,gas,1,8638,Take her all the way.,100,43
364,gas,2,16945,Take her to my place then turn her loose.,91,43
365,gas,3,23124,Give her money to go away.,62,43
366,gas,4,14458,Lie and say going opposite direction.,39,43
367,ring,0,19408,Fake being sick and get an ambulance.,17,43
368,ring,2,13166,Tell them the truth.,61,43
369,ring,4,45525,Buy another ring somehow from somebody or a nearby store.,100,43
370,ring,5,65549,Write an I.O.U. for the couple when ring time comes.,0,43
371,store,0,12726,Lock store and go to court.,100,43
372,store,1,18791,Call lawyer to convey message during court.,91,43
373,store,2,18543,Ignore the problem and get a F.T.A.,0,43
374,store,3,23816,Call the court directly.,35,43
375,store,4,34239,"Lock store, drive to bosses house immediatly.",100,43
376,store,5,13085,Get another employee to come.,89,43
377,arizona,0,10378,Leave her and get help.,100,43
378,arizona,1,35647,Write big SOS in the sand in case of a plane.,80,43
379,arizona,2,29045,Make shelter over her and wait till arm comes loose.,10,43
380,arizona,3,40146,"Use anything for lubricant, such ass nearby plants.",75,43
381,arizona,4,30418,Yell loud till exhausted in case of people around.,100,43
382,arizona,5,14578,Break her arm.,86,43
383,mother,0,13604,Move him in and get a better job.,100,43
384,mother,1,15153,GoFundMe page for the cash.,79,43
385,mother,2,22607,Buy super cheap home care fro Craigslist.,89,43
386,mother,3,9613,Ignore the problem.,0,43
387,mother,4,15832,Buy better insurance.,100,43
388,mother,5,23526,Turn him over to the state for care.,62,43
389,class,0,10505,Call mom to bring it.,92,43
390,class,1,9787,Leave school and get it.,100,43
391,class,2,21676,Tell them any lame excuse to get more time.,81,43
392,class,3,12232,Redo the assignment on the spot.,95,43
393,class,4,11228,Do nothing and take the fail.,100,43
394,concert,0,6774,Sneak in.,87,43
395,concert,1,16061,Bribe the bouncer with case or goods.,100,43
396,concert,2,17075,Go to concert myself.,18,43
397,concert,3,25627,Both of us sell the ticket in hand and do something else.,100,43
398,concert,4,21093,Cuss my friend out so I feel better.,29,43
399,concert,5,50008,Search on the phone for a scan-able ticket.,100,43
400,bakery,0,19484,Delete some sales to balance.,22,43
401,bakery,1,13335,Use my own money to cover.,100,43
402,bakery,2,16611,"Leave as, is with note to boss.",95,43
403,bakery,3,16129,Quit and never visit the place ever.,100,43
404,bakery,4,12159,Lie that I got robbed.,24,43
405,bakery,5,47832,Blame someone else somehow. Such as till was short when I got it.,63,43
406,mother,0,10621,Move in with my dad,78,134
407,mother,1,29238,See if any of my aunts or uncles could take care of my dad,86,134
408,mother,2,27203,Get a bigger apartment and have my dad move in,61,134
409,mother,3,53756,"If I lived in a complex, my dad could move into an apartment in my complex",60,134
410,mother,5,26124,Reach out to senior organizations to get advice ,44,134
411,ring,0,15924,Call the taxi company,100,134
412,ring,1,10235,Go outside and see if the taxi is nearby,65,134
413,ring,2,15296,Explain to them what happened and try to get the ring back later,33,134
414,ring,3,45618,Just tell them what happened and see what they want me to do,44,134
415,ring,4,15732,Get someone else at the wedding to try to track the taxi down,54,134
416,ring,5,7592,Try to track the taxi down myself,62,134
417,gas,3,21509,Give her a ride,50,134
418,gas,5,26207,Just ignore her,0,134
419,bakery,0,24010,Tell the manager,64,134
420,bakery,1,5205,Not say anything ,16,134
421,bakery,2,34615,Work overtime,32,134
422,bakery,3,23435,Double count to see if I made a mistake counting the first time,79,134
423,bakery,4,17306,Talk to the other employees and explain the situation,94,134
424,bakery,5,22920,Put my own money in there,0,134
425,arizona,0,15682,Walk until I get phone service,67,134
426,arizona,1,5012,Try to find water,28,134
427,arizona,2,5153,Try to get my friend out,34,134
428,arizona,3,21005,Go back the way we came to get to our car,81,134
429,arizona,4,7536,Try to flag someone down,65,134
430,arizona,5,12795,See if anyone else is nearby,70,134
431,summer,0,12499,Go to the front desk at the mall and tell them,45,134
432,summer,1,10375,Call the non-emergency line and tell them,61,134
433,summer,2,4952,Break the window,45,134
434,summer,3,16154,Call the front desk at the mall and tell me the situation,62,134
435,summer,4,20062,Call my mom and see what I should do,32,134
436,summer,5,36699,Get someone else in the parking lot and see what they think we should do,43,134
437,store,0,10127,Call another employee to see if they can come in,71,134
438,store,1,23222,"If the owner has a spouse and I have their number, call them",72,134
439,store,3,7388,Call my lawyer if I have one,66,134
440,store,4,8174,Keep trying to call my boss,30,134
441,store,5,16315,Call corporate,71,134
442,class,0,15894,Explain to the teacher what happened,95,134
443,class,1,14224,See if I can turn the assignment in tomorrow,95,134
444,class,2,9129,Call my mom and see if she can bring the assignment to school,66,134
445,class,4,9613,Try to do the assignment quickly,28,134
446,class,5,27650,Explain to a classmate what happened and ask if I can copy their work,45,134
447,concert,0,8692,Go to the concert by myself,36,134
448,concert,1,26285,Go with Ted to get his ticket,42,134
449,concert,2,6722,Try to buy a ticket from a scalper,55,134
450,concert,3,13256,Give Ted my ticket and go do something else,38,134
451,concert,4,18638,Skip the concert and do something else entirely,40,134
452,concert,5,19464,See if Ted can bring the ticket up on his phone,91,134
453,medication,0,9651,Ask my family to borrow money,68,134
454,medication,1,10285,Ask my friends to borrow money for the medicine,60,134
455,medication,2,8287,Work overtime,38,134
456,medication,3,7835,Try to get an advance on my check,41,134
457,class,0,11726,Call your mom and have her bring it to school.,83,156
458,class,1,8242,Quickly do the assignment again.,65,156
459,class,2,7324,Tell the teacher the truth and ask for clemency.,100,156
460,class,3,8777,Lie and say your dog ate your homework.,0,156
461,class,5,51279,Skip lunch and go get the homework yourself.,50,156
462,ring,0,7948,Panic.,34,156
463,ring,1,11320,"Tell someone, ask for help.",61,156
464,ring,2,18260,Tell your sister (the Bride). ,19,156
465,ring,3,12687,"Call the Taxi company, try to recover the ring.",95,156
466,ring,4,16717,Use a fake ring and hope no one notices.,14,156
467,ring,5,32404,Cause a disturbance so that the wedding is postponed.,0,156
468,bakery,0,9093,Let the staff work overtime.,37,156
469,bakery,1,15549,"Do a recount, maybe you made a mistake.",74,156
470,bakery,2,9932,Pay the difference out of pocket.,58,156
471,bakery,3,56069,Ask the staff their input.,50,156
472,bakery,4,39292,Try to determine the cause.,61,156
473,bakery,5,31664,"Report as is, but ask for leniency for the staff.",71,156
474,store,0,8704,"Stay at work, miss court appointment.",26,156
475,store,1,61192,Leave work unattended and go to court.,32,156
476,store,2,32333,"Close and lock up at work, go to court.",50,156
477,store,3,24301,Ask another employee to cover for you.,66,156
478,store,5,16596,Call the courthouse and ask for an extension.,64,156
479,gas,1,23338,Give her what she wants.,65,156
480,gas,2,12209,"Give her a ride, but only part of the way.",73,156
481,gas,3,26149,Simply decline.,50,156
482,gas,4,38925,Give her bus fare/drop her off at a bus station.,50,156
483,gas,5,34705,Call a taxi/Uber for her.,50,156
484,arizona,0,7530,Chew her arm off.,8,156
485,arizona,1,27439,Leave to find a location with better reception.,84,156
486,arizona,2,66843,Try to chisel away at the stone.,46,156
487,arizona,3,32591,Drink your own urine to stay hydrated? Gross.,0,156
488,arizona,4,26817,"Pee on her arm, maybe it will slip out. Tee hee.",50,156
489,arizona,5,10679,Go get help.,100,156
490,summer,0,4529,Ignore the dog.,13,156
491,summer,1,37866,Break a window on the car.,33,156
492,summer,2,16641,Call the police/mall security.,91,156
493,summer,3,9440,Wait around for the owner to come back so you can yell at them.,38,156
494,summer,4,18571,Get the attention of other people nearby.,50,156
495,summer,5,73193,Call some kind of animal abuse hotline?,50,156
496,mother,0,11844,Try to squeeze your father in your apartment anyway.,42,156
497,mother,1,17514,Move to somewhere big enough for the both of you.,62,156
498,mother,2,13143,Ask other family for help.,70,156
499,mother,3,31730,Look into charitable donations or offers.,50,156
500,mother,4,19017,Hire a nurse for your father.,77,156
501,mother,5,9300,Let your father fend for himself.,17,156
502,medication,0,6827,Ask for help from family.,68,156
503,medication,1,11901,Ask for help on social media/gofundme/whatever.,55,156
504,medication,2,8953,Enter a life of crime and steal the medicine.,32,156
505,medication,3,22536,"Sell everything, do anything, to afford the medicine.",50,156
506,medication,4,8535,Go without and enjoy the time you have left.,50,156
507,medication,5,5786,Ask partner what they think.,75,156
508,concert,0,4841,Ditch Ted.,32,156
509,concert,1,9087,Give Ted your ticket.,67,156
510,concert,2,15995,Go with Ted to get his ticket. Miss the show together.,69,156
511,concert,3,6869,Skip the concert entirely.,50,156
512,concert,4,13521,"Try to get a ticket from someone else, a scalper or something.",50,156
513,concert,5,8189,Try to sneak in without a ticket.,21,156
514,summer,0,12807,ignore it,50,48
515,summer,1,9230,find owner,64,48
516,summer,2,7406,wait for owner,66,48
517,summer,3,4574,break window,50,48
518,summer,4,3598,nothing,50,48
519,summer,5,3303,nothing,50,48
520,gas,0,5311,say sorry,72,48
521,gas,1,5135,say sorry,75,48
522,gas,2,7367,get someone else,97,48
523,gas,3,5367,let her use phone,79,48
524,gas,4,9486,take her,50,48
525,gas,5,8703,take her and ask for gas money,59,48
526,medication,0,7071,borrow money,49,48
527,medication,1,1967,get a loan,50,48
528,medication,2,14478,find alternative,56,48
529,medication,3,12303,ask someone else to buy with their insurance,42,48
530,medication,4,4958,ask doctor for help,54,48
531,medication,5,1600,nothing,41,48
532,bakery,0,11383,add money to drawer,74,48
533,bakery,1,16671,do nothing,50,48
534,bakery,2,8863,blame someone else,40,48
535,bakery,3,8126,adjust books to erase amount,45,48
536,bakery,4,1887,nothing,50,48
537,bakery,5,1743,nothing,50,48
538,concert,0,13631,try to appeal to ticket goer,50,48
539,concert,1,7550,have him go get ticket,50,48
540,concert,2,8015,call someone to go get his ticket,54,48
541,concert,3,2975,sneak him in,26,48
542,concert,4,5023,give him your ticket,50,48
543,concert,5,1823,nothing,52,48
544,arizona,0,5831,go get help,76,48
545,arizona,1,16238,go somewhere where cell will work,72,48
546,arizona,2,6447,continue trying,50,48
547,arizona,3,4478,sheild the sun,53,48
548,arizona,4,2096,nothing,50,48
549,arizona,5,1694,nothing,50,48
550,ring,0,5839,call taxi company,82,48
551,ring,1,8287,be honest with sister,96,48
552,ring,2,5614,blame someone else,36,48
553,ring,3,14271,pretend to be sick,35,48
554,ring,4,1919,nothing,50,48
555,ring,5,1294,nothing,49,48
556,store,0,6999,stay,62,48
557,store,1,3182,cancel appt,68,48
558,store,2,10879,lock door and leave,67,48
559,store,3,20335,call someone else to cover,75,48
560,store,4,1806,nothing,50,48
561,store,5,1439,nothing,50,48
562,mother,0,5391,move in with father,73,48
563,mother,1,5503,ask for gov assistance,53,48
564,mother,2,3406,ask family for help,78,48
565,mother,3,5712,move him in with me anyway,58,48
566,mother,4,11917,get a loan,52,48
567,mother,5,1697,nothing,50,48
568,class,0,6887,call mom to bring ,59,48
569,class,1,6927,confess to teacher,62,48
570,class,2,6815,go home to get,58,48
571,class,3,5071,pretend to be sick,42,48
572,class,4,12079,quickly do assignment again.,65,48
573,class,5,4927,nothing,50,48
574,class,0,6414,Talk to the instructor abou tit,95,36
575,class,1,7100,Ask for an extension,92,36
576,class,2,3237,Call home,77,36
